"vehicleType","vehicleCarFrame","vehicleCarBrand","vehicleModel","vehicleDischarge","vehicleImported","vehicleRegistration","vehicleCarPlate","companyId","companyName","status","order"
"V","WDD1760431J474251","MERCEDES","CLASSE C","0%","","","",1,"Cristallo srls","published",""
"V","WDD2053041F351973","MERCEDES","CLASSE C","0%","","","",1,"Cristallo srls","published",""
"V","WDD2452071J651781","MERCEDES","CLASSE B","0%","","","",1,"Cristallo srls","published",""
"V","WDD2462431N172067","MERCEDES","CLASSE B","0%","","","",1,"Cristallo srls","published",""
"V","WDF447703013026549 ","MERCEDES","CLASSE V","0%","","","",1,"Cristallo srls","published",""
"V","WDF63970513665462","MERCEDES","VITO","0%","","","",1,"Cristallo srls","published",""
"V","WF06XXGCC6HJ32759","FORD","FOCUS","0%","","","",1,"Cristallo srls","published",""
"V","WF0AXXWPMADC40474","FORD","KUGA","0%","","","",1,"Cristallo srls","published",""
"V","WF0AXXWPMAJY08981","FORD","KUGA","0%","","","",1,"Cristallo srls","published",""
"V","WF0CU93Z35KA33702","FORD","MAVERICK","0%","","","",1,"Cristallo srls","published",""
"V","WF0DXXGAJD6T74976","FORD","FIESTA","0%","","","",1,"Cristallo srls","published",""
"V","WF0DXXGAJX6T74976","AIXAM","GT","0%","","","",1,"Cristallo srls","published",""
"V","WF0EXXTTRELK59395","FORD","TRANSIT","100%","","","",1,"Cristallo srls","published",""
"V","WF0EXXWPCEJY87952","FORD","MONDEO","0%","","","",1,"Cristallo srls","published",""
"V","WF0FXXWPCFFD43861","FORD","MONDEO","0%","","","",1,"Cristallo srls","published",""
"V","WF0JXXGAJJ9C72192","FORD","FIESTA","0%","","","",1,"Cristallo srls","published",""
"V","WF0PXXGCDP8K19937","FORD","FOCUS","0%","","","",1,"Cristallo srls","published",""
"V","WF0SXXGBWSDE07491","FORD","S-MAX","0%","","","",1,"Cristallo srls","published",""
"V","WF0UXXLTRU9P49230","FORD","KA","0%","","","",1,"Cristallo srls","published",""
"V","WF0UXXLTRUAT86818","FORD","KA","0%","","","",1,"Cristallo srls","published",""
"V","WF0UXXLTRUFE42895","FORD","KA","0%","","","",1,"Cristallo srls","published",""
"V","WF0VXXGBFV3T48304","FORD","TRANSIT","0%","","","",1,"Cristallo srls","published",""
